Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
HNO3 Teknis 25%,CAIRAN TEKNIS,,10,Liter,6000,40000,
"HCL 0,1 M / N",,,19,Liter,4502,60000,
"PHOSPORIC ACID H3PO4 0,1N",MBAK MIRZA,,9,1 L,1,50000,
Laboratory Botol SCHOTT Duran 25 ml,,D.218011453,2,Pcs,45954,65000,
PIPA KACA 75CM OD 7MM ID 2MM,,,16,Pcs,90000,125000,
Petri Dish Petriq 100*15 mm,GLASSWARE,G.168,1,Pcs,16000,24000,
Iron (III) Chloride 6 Hydrate / FeCl3.6H2O 250 gr Merck,PADATAN PRO ANALIS,1.039.430.250,6,Botol,1340658,2013000,
Potassium Nitrate Merck 500 gr,PADATAN PRO ANALIS,1.050.630.500,1,Botol,607170,1045000,
"Formaldehyde Solution 37% 1,5L",,,1,Botol,1,825000,
Fungisida dan Perekat Victory,,,5,Kg,75000,75000,
Perekat Althron 500 ml,,,12,Botol,49500,594000,
HST Extensometer Model ZES Cap. 25-5 Serial 435,ELEKTRONIK,,1,Unit,14000000,19800000,
Pupuk NPK Mut 16 @50Kg,,,1,Zak,790000,790000,
Insektisida Deciss 500 ml,,,8,Botol,117500,940000,
Polybag 25x25,,,27,Kg,24000,36000,
Polybag 25x25,,,1,Kg,24000,24000,
Larutan Amylum 1% 250 ml,,,95,Botol,24000,65000,
Pereaksi Biuret 100ml,,,22,Botol,24494,35000,
Benzene PA 100 ml,,,1,Botol,100000,175000,
H2o2 3% eceran,,,990,ml,1,200,
Non-Stick BTO Inlet Septa 11mm Agilent,,5183-4757,1,Pcs,1789920,2237579,
H2O2 Teknis 100 ml,,,1,Botol,2000,10000,
"Pinset Splinter Forcep Curved 11,5 Cm",,,1,Pcs,9750,14500,
Pinset Splinter Forcep Curved 14 cm,,,1,Pcs,10350,15000,
Natrium Oxalate MERCK,,,249,Gram,11700,22500,
TPTZ - Tris Pyridil Triazine Sigma 50mg,,,1,Botol,275000,350000,
Beaker Glass PYREX 600 ml,,,2,Pcs,40000,60000,
Lithium Chloride PA,PADATAN PRO ANALIS,,1,Gram,150000,250000,
Plastik Polybag uk 12x15,PLASTIK,,1,Kg,24000,36000,
H2O2 PA / Hydrogen Peroxide Soln 30% 500 ml,CAIRAN PRO ANALIS,A-1052,6,Botol,"306637,5",444000,
Sieve Mesh 400,ALAT,SVMSH.200,1,Pcs,280000,766500,
NELSON A 100ML,CAIRAN REAGEN,,10,Botol,90000,145000,
NELSON B 100 ML,,,11,Botol,80000,150000,
Hand Soap 5 liter,,,1,jerigen,1,75000,
Hand Soap Lokal,,,30,Liter,15000,25000,
Diphenylamine 50 ml,,,1,Botol,1,200000,
FeCl3 10% p.a 100ML,MBAK MIRZA,,4,100 ml,1,75000,
H2O2 3%,,,45,Liter,1,25000,
Bacteri Propionii Acne,Bakteri,,1,Vial,300000,450000,
Larutan Trichloroacetic Acid TCA 60% 100 ml,LARUTAN REAGENT,,1,Botol,1,700000,
Larutan Trichloroacetic Acid TCA 80% 100 ml,LARUTAN REAGENT,,20,Botol,150000,925000,
FeCl3 1% PA 100ML,,,96,100 ml,10000,40000,
"KOH 0,1 N 100 ML",,,90,Botol,4000,15000,
Ammoniak tk 100 ml,,,28,100 ml,1,10000,
SPAN 80 500 ml,,,1,Botol,93000,200000,
CARBON AKTIF POWDER 100GR,,,41,100 gram,1,17000,
ETHYLENE / ETILEN GLIKOL 500 ML,,,1,Botol,21000,45000,
Timbangan Digital Pocket Scale 0.01-200 Gram MH-Series,,,1,Pcs,28000,45000,
Deponeo Inj 3ml,,,20,Vial,1,12000,
Diazepam (Stesolid),,,10,Ampul,1,100100,
Novalgin Metamizole Injection,,,10,Ampul,1,321800,
Phenitoin (Kutoin),,,10,Ampul,1,54000,
Tranexamic Acid Dexa 5 ML,,,30,Ampul,1,13200,
Suntikan KB 3 Bulan Depo-Progestin Medroxyprogesterone Acetate (DMPA) 20 Vial,,,3,Box,167400,286000,
Sanprima Forte Tsb 960 mg 12 tab,,,1,Blister,1,45000,
Sanprima Tsb 480 mg 12 tab,,,1,Blister,1,23000,
Uniject (Hepatitis B) Anak 10 Vial,,,10,Box,1,917000,
Acetosal Pharmaceutical Grade,,,2,500 gr,350000,583000,
Cetostearyl Alcohol Pharmaceutical Grade,,,1,Kg,1,388500,
Ekstrak Succus Liquiritiae Padat,,,1,Kg,250000,2248000,
Guava Flavour,,,1,Kg,1,524500,
Metil Cellulose,,,1,Kg,1,211000,
Orange Flavour,,,1,Liter,1,510000,
"ETHANOL PA MERCK / Ethyl Alcohol Absolute 2,5 ltr",CAIRAN PRO ANALIS,1.009.832.500,6,Botol,610500,1030000,
Anti Foam 100 ml,,,6,Botol,1,17000,
Ansell NeoTouch Neoprene Gloves (size 8/Medium),DISPOSABLE,,1,Pack,1,1900000,
Benang Prolyne Ethicon no. 4.0 W525,DISPOSABLE,,5,Box,1186923,1730000,
Cover Glass Thermo 24 x 40 mm @1000 pcs,,,1,Box,1,1361250,
Differential Blood Cell Counter,,,1,Buah,1,5130000,
Jarum heacting Sutura isi 12,,,1,Pack,1,279500,
Jarum Heacting Cutting 3/8 ukuran 11 @10 pcs,,,1,Pack,1,202500,
Jarum Heacting Tapper 1/2 ukuran 11 @10,DISPOSABLE,,1,Pack,1,202500,
Mikroplate TC Culture 12 Well Costar,GLASSWARE,Costar 3513,8,Pcs,53280,80000,
Mikroplate TC Culture 24 Well Costar,GLASSWARE,Costar 3524,24,Pcs,53280,80000,
Mikroplate TC Culture 6 Well Costar,GLASSWARE,Costar 3516,5,Pcs,44400,66000,
Mikroplate TC culture 96 well Corning,,,33,Pack,55000,80000,
Needle Terumo ukuran 23 1 1/4 G @100 pcs,DISPOSABLE,,1,Box,1,101000,
Pigmen Kulit for latex 100 ml,LAINNYA,,1,Pcs,1,40000,
Staining jar glass 10 slide Duran,GLASSWARE,213170003,1,Pack,1,455000,
Venflon BD18G @50 pcs,,,1,Box,1,607500,
Boric Acid / H3BO3 Smartlab 1 Kg,PADATAN PRO ANALIS,A-2013,6,Botol,613275,850000,
N Buthanol @4 L,CAIRAN PRO ANALIS,A-1016,4,Botol,1317015,3085000,
Acetonitrile HPLC @4 L,CAIRAN PRO ANALIS,H-1010,4,Botol,1433565,1785000,
Methanol PA Smartlab @4 L,CAIRAN PRO ANALIS,A-1056,1,Botol,274170,348000,
Pompa Angin Elektrik,ELEKTRONIK,,1,Unit,117000,175000,
Model Kerangka Manusia Torso Mini 50 cm,ALAT,,1,Unit,369300,750000,
Kovac's Indole Reagent Himedia @100 ml,CAIRAN PRO ANALIS,R009,1,Botol,268065,445000,
"SH-Rtx-1 Cap. Column 30m, 0.25mm, 0.25um",ALAT,221-75719-30,1,Unit,12477520,16220776,
Eosin 946 ml,CAIRAN PRO ANALIS,,4,Botol,299700,445000,
BD FACS Flow Sheath Fluid 20L,,,3,20L/Ea,1457430,2185000,
SIEMENS MULTISTIX 10 SG 100T,,,1,Pack,668200,845000,
Reagen Dragendorf 100 ml,CAIRAN REAGEN,,8,Botol,132880,172000,
"KOH 0,1 N 1 LITER",,,92,Liter,1,75000,
"Methylen Blue 0,25 % 100 ml",CAIRAN PRO ANALIS,,4,Botol,1,50000,
Iron Powder / Serbuk Besi 100 gram,PADATAN PRO ANALIS,,1,Pack,33800,58000,
Bromtimol Blue 100 ml,CAIRAN REAGEN,,1,Botol,100000,150000,
Xylene Teknis 100 ml,CAIRAN TEKNIS,,18,Botol,8000,15000,
Molybdenum Trioxide / MoO3,PADATAN PRO ANALIS,,13,Gram,29300,55500,
"Kertas Saring 0,45 um",,,1,Lembar,1,50000,
IODINE 2% 100ML,,,10000,ml,470,1200,
Nitric Acid 500 ML,CAIRAN TEKNIS,,46,Botol,6000,27000,
Disc Antibiotik Chlorampenicol C30,PADATAN PRO ANALIS,CT0013B,5,Disc,108500,150000,
HCL 3% 500 ML,CAIRAN TEKNIS,,45,Botol,5000,13000,
Botol Pump 500 ml,BOTOL,,4,Pcs,5000,6000,
Botol Pipet 15 ml,BOTOL,,1,Pcs,3200,4500,
Botol Pipet 30 ml,BOTOL,,1,Pcs,3500,5000,
Colchicine 5 gram,PADATAN PRO ANALIS,234115-5GMCN,1,Pack,5545924,9233000,
N-Hexane PA SMARTLAB @4 LT,CAIRAN PRO ANALIS,A-1045,3,Botol,947940,1245000,
"Na Citrate 3,8%",CAIRAN REAGEN,,3,500 ml,1,109000,
Hayem,CAIRAN REAGEN,,3,500 ml,1,223000,
Haemometer Harenz HB Sahli Hemoglobin Tes,ALAT,,1,Pcs,60740,94000,
Catalyst Kjeltabs SE/5,PADATAN PRO ANALIS,6004-6512,1,Box,5047725,7019000,
Kaca Arloji RRT 100 mm,,H.1175-100,6,Pcs,18426,20500,
PINSET ONEMED Biru,,,1,Pcs,1,20000,
Adaptor Along / Adaptor Destilasi PYREX NS 29/32,,,5,Pcs,85000,115000,
MANGANESE (IV) OXIDE SIGMA 243442-100G,PADATAN PRO ANALIS,,1,Botol,1142000,1526500,
HNO3 1 M Teknis 500 ML,CAIRAN TEKNIS,,48,Botol,3000,20000,
ONGKIR SURABAYA,,,122,Kg,1,15000,
Nutrient Agar HIMEDIA 500 gr,,M001-500G,3,500 gr,599400,828000,
Nutrient Broth HIMEDIA 500 gr,,M002-500G,3,500 gr,674880,901875,
NaOH Teknis 15%,teknis,,95,Liter,1,45000,
Pati Beras / Amylum Oryzae,PADATAN TEKNIS,,500,Gram,12,250,
"Nitric Acid 65% HNO3 PA 2,5 LITER",CAIRAN PRO ANALIS,A-1063,9,Botol,796425,965000,
"Potato Dextrose Agar, Granulated HIMEDIA 500 gram",PADATAN PRO ANALIS,GM096-500G,3,Botol,1038960,1998000,
Falcon Eppendorf Biologix 15 ml,ALAT,,1,Pack,120000,180000,
Falcon Eppendorf Biologix 15 ml,ALAT,,1,Pack,120000,180000,
KRAN KACA CORONG PISAH 500ML,,,4,Pcs,1,100000,
Ammonium Sulphamate Sinopharm,PADATAN PRO ANALIS,,1,100 gram,100000,832500,
Ammonium Sulphamate Sinopharm,PADATAN PRO ANALIS,,1,100 gram,100000,832500,
Congo Merah 100ml,LARUTAN REAGENT,,2,Botol,27040,53000,
Kertas Saring Kasar Ex. Jepang 58x58cm,,J.1,239,Lembar,5689,7500,
"CHLORIN 5,25%",,,2,Liter,1,30000,
"HCL 0,1 M/N 500 ML",,,40,Botol,12000,36000,
Botol Timbang 25*40 RRT,GLASSWARE,H.1301-2540,4,Pcs,24864,34000,
"H2SO4 0,225 N 500 ML",MBAK MIRZA,,8,Botol,2500,25000,
"HCL 0,02 N 500 ML",MBAK MIRZA,,2,Botol,1,22500,
Spirtus 500 ML,CAIRAN TEKNIS,,28,Botol,5600,14000,
Iron (III) Chloride Hexahydrate FeCl3.6H2O Smarlab,PADATAN PRO ANALIS,,1,250 gr,490620,755000,
Sukrosa 10%,LARUTAN REAGENT,,3,Liter,15000,30000,
Alkohol Food Grade,CAIRAN TEKNIS,,5,500 ml,30000,55000,
Beaker Glass PYREX 25 ml,GLASSWARE,,8,Pcs,17000,25000,
Labu Ukur Tutup Plastik PYREX 5 ml,GLASSWARE,,13,Pcs,40000,48000,
Corong Kaca PYREX 100 mm,GLASSWARE,,5,Pcs,28000,44000,
Kran Kaca,GLASSWARE,,1,Pcs,60000,93000,
Whatman 42 D 125 mm,,,55,Lembar,5820,8500,
"Dapar Asetat pH 2,9 200 GR",,,4,Botol,1,83500,
"Natrium Klorida 0,5 N 200 GR",,,4,Botol,1,94500,
"IODIUM 0,0007 N 200GR",,,4,Botol,1,388500,
Rhodamine B Powder,,,20,Gram,1000,2500,
Sodium Sakarin / Sodium Cyclamate,PADATAN TEKNIS,,60,Gram,300,800,
Alkohol 96%,,,469,Liter,16000,35000,
Reagen Arsenomolibdat 50 ml,LARUTAN REAGENT,,9,Botol,95330,170000,
HCL 1 N/M,,83 ml,10,Liter,5000,40000,
Oli Petronas,,,1,Botol,121000,180000,
Reagen Nessler 100 ml,CAIRAN PRO ANALIS,,8,Botol,51680,225000,
Botol Plastik 1000 ml Putih Gelap,,,25,Pcs,5500,7500,
TRIKALSIUM PHOSPHATE f.g 500 GR,,,1,500 gr,1,47500,
BUFFER SODIUM ACETATE pH 7 100 ML,,,3,100 ml,1,30000,
Anti Foam 50 ml,,,8,Botol,1,10000,
BENZOIC ACID MERCK,,,5,Gram,5000,11100,
Thermometer Alla France Total Immersion -20 +250,,,1,Unit,87468,130000,
COUMARIN LOBACHEM,,,1,250 gr,1350000,1942500,
Orcein Himedia 5 gram,PADATAN PRO ANALIS,RM277,9,Botol,915750,1610000,
Bayclin Regular 4L,LAINNYA,,4,Botol,48500,85000,
Tisu Multi 1000 gram,LAINNYA,,1,Pack,42000,50000,
Kertas Putih Loyang / Minyak 40x60,,,5,Lembar,1500,2000,
Essensce Strawberry,LAINNYA,,25,ml,810,1500,
Disodium Hydrogen Phosphate PUDAK 500 gram,PADATAN PRO ANALIS,CNA 40/500,3,Botol,116545,180000,
DMSO Dimethyl Sulfoxide Merck @1 L,CAIRAN PRO ANALIS,1.029.521.000,1,Botol,1750470,2100000,
Sunlight 800 ml,LAINNYA,,12,Botol,17500,21000,
Gula Pasir,LAINNYA,,2,1 Kg,14000,20000,
Pupuk NPK Mutiara 16 16 16,PUPUK,,10,Kg,18000,22000,
Tisu Nice Serba Guna 2000 helai 1000 gram,LAINNYA,,1,Pack,35000,42000,
Karet AA Besar,LAINNYA,,20,Kg,51000,95000,
Karet AA kecil,LAINNYA,,16,Kg,50000,100000,
Plastik PE 5 Kg 30*45 Anggora @250 gram,PLASTIK,,4,Pack,9000,47000,
"Pastik PP 0,4 * 13 Jet",PLASTIK,,20,Roll,27300,45000,
MANGAN SULFAT 40%,,,19,100 ml,1,18000,
XYLENE PA 500 ml,,,95,Botol,80000,150000,
"PICNOMETER 5ML, PYREX CALIBRATED",,,1,Pcs,60000,95000,
SODIUM CHLORIDE / NACL 500GR,,,3,Pack,3000,17000,
SODIUM CHLORIDE / NACL 300GR,,,1,Botol,1,11500,
SODIUM SULFATE TEKNIS 250GR,,,2,Botol,1,8000,
CAMPERLAN 100ML,,,4,100 ml,1,15000,
Sodium hydroxide / Soda Api 500 Gram,,,6,Pack,1,35000,
GLUTARALDEHYDE 25% PA,CAIRAN PRO ANALIS,,10,ml,4000,9000,
HCL 10 N 500 ML,MBAK MIRZA,,6,Botol,1,38000,
Pyridoxine Hydrochloride SIgma,,P.9755-25G,1,25 gram,1101120,1528000,
Biotin Sigma,PADATAN PRO ANALIS,b4639-100MG,1,100 mg,578088,723000,
Crystal Violet Merck 25 Gram,PADATAN PRO ANALIS,M.1.01408.0025,1,Botol,868500,1443000,
Pyridoxine HCL Himedia 25 gram,,PCT0212,1,Botol,622710,860500,
a-Naphthaleneacetic Acid NAA Himedia 50 gram,,PCT0809,1,Botol,754800,1027000,
"2,4 Dichlorophenoxyacetic Acid 100 gram",,PCT0825,1,Botol,674602,999000,
Cadmium Nitrate Cd(NO3)2 PA Eceran,PADATAN PRO ANALIS,,73,Gram,7100,18000,
Serum Albumin / Bovine Serum Albumin BSA,PADATAN PRO ANALIS,,1,Gram,175000,190000,
Reagen Millon's 25 ml,,,1,Botol,228553,296000,
Ongkir Situbondo,LAINNYA,,8,Kg,1,16000,
"SODIUM CHLORIDE 0,9% 500 ML PT WIDATRA",,,99,Botol,13000,20000,
H2SO4 TEKNIS 50 ML,,,24,Botol,150,7000,
HCL 2M 50 ml,,,9,Botol,1,18000,
FeCl3 1% Tk,CAIRAN TEKNIS,,18,ml,10,500,
Gliserin Teknis 50 ml,,,8,Botol,3000,8000,
"HCL 0,1 N 4 LITER",,,2,Botol,1,260000,
Asam asetat Teknis / Acetic Acid CH3COOH 1%,CAIRAN TEKNIS,,9,Liter,5000,45000,
"EDTA 0,005 M",,,3,100 ml,1,30000,
Hand Refraktometer Salt Trans Range 0-100,,TI.6,5,Unit,1625151,1948000,
ANAEROGEN 10PACK,,,1,Pack,754800,850000,
Lampu UV 254 nm,ELEKTRONIK,,1,Unit,350000,600000,
Lampu UV 366 nm,ELEKTRONIK,,1,Unit,350000,600000,
Cerium Sulfate,,,1,Gram,1,115000,
Labu Leher 3 Pyrex 250 ML,,,1,Pcs,170000,255000,
"Sodium Thiosulfate / Na2S2O3 0,1 N PA 100 ml",LARUTAN REAGENT,,82,Botol,2200,35000,
Buret Duran 50 ml Kran Teplon,GLASSWARE,,1,Pcs,1,1250000,
Latex Examination Gloves Safe Gloves L,DISPOSABLE,,10,Box,34632,50000,
Lactophenol Cotton Blue 100 ML,,S016-100ml,2,Botol,213120,250000,
Pipet Ukur PIREX 15 ml,GLASSWARE,,3,Pcs,40000,55000,
D (+) Glucose Sigma 1 Kg,PADATAN PRO ANALIS,G8270-1KG,2,Pack,"1219612,5",1770000,
CLAMP JOINT CLIP 22MM,,,1,Pcs,1,350000,
HEXAMETHYLDISILAZANE 25ML,CAIRAN PRO ANALIS,SIGMA-379212,2,Botol,1046952,1450000,
CAL Standard pH Buffer Solution pH 7.00,,SP0700F,3,500 ml,500000,700000,
"CAL Standard pH Buffer Solution pH 4,01",,SP0401F,3,500 ml,500000,700000,
Mesin Pencacah Rumput Yamasuka + Mesin Diesel,ALAT,YSP CC 100,1,Unit,3750000,5249000,
Strip glucose Autocheck,,,1,Pack,74000,110000,
Strip Glucose Easy Touch,,,3,Botol,84000,104000,
Latex Examination Gloves Safe Gloves S,,,109,Box,34632,50000,
Tween 80 / Polysorbate 80 50 ML,CAIRAN TEKNIS,,1,Botol,8000,15000,
PEG 400 50 ML,,,6,Botol,2826,10000,
B-One Digital Water Bath 18L-2Rows-6Holes,ELEKTRONIK,DWB-18L2R6H,1,Unit,4227269,8650000,
Indikator Methyl Orange 100 ml,,,1,Botol,35040,65000,
Propionic Acid for Synthesis 1 L,LARUTAN REAGENT,8.006.051.000,1,Pack,681817,1040000,
Butyric Acid for Synthesis 1 L,LARUTAN REAGENT,8.004.571.000,1,Pack,840825,1260000,
FeCl3 10% Teknis,,,4,Liter,10200,28000,
Urea PA / Carbamide / Karbamid / CO(NH2)2 Eceran,PADATAN PRO ANALIS,,123,Gram,100,2000,
Sukrosa / Sucrose / Saccharose PA Eceran,PADATAN PRO ANALIS,A-2186-1,953,Gram,950,3000,
Jerigen 5 Liter Putih Bening,BOTOL,,19,Pcs,8500,13000,
Formaldehyde 37% PA 500 ML,,,3,Botol,197510,275000,
Ammonia PA 500 ML / Amonium Hidroksida NH3 / NH4OH,CAIRAN PRO ANALIS,,97,Botol,60000,200000,
Baume Meter Alla France 0-35,,,1,Pcs,86000,130000,
Reagen Benedict 100 ml,,,5,Botol,45000,64000,
LUX METER,,,6,Pcs,180000,280000,
"Membrane Circles ,Sterile 0,45um 47mm 7141-104",,,1,Pack,1285000,1385000,
Kaporit Powder 250 gr,,,33,Pack,10000,18000,
Elektroda Besi (Fe),,FLS 20.19/117,1,Pcs,20000,25000,
Nickel (II) Chloride Hexahydrate NiCl2 PA Eceran,PADATAN PRO ANALIS,,6,Gram,5700,17000,
Enzim Glucose / GOD,,,1,Gram,1,13000,
XYLENE TEKNIS,MBAK MIRZA,,3,Liter,36000,67000,
Hygrometer Putar/Psikrometer,,,1,Pcs,180000,295000,
TISU GULUNG,,,5,Roll,1,6000,
Kertas Label No. 123,ALAT,,1,Pack,3500,6000,
Larutan Trichloroacetic Acid TCA 10% 150 ml,,,7,Botol,225000,285000,
Cefotaxime CTX30 Disc,,CT0166B,1,Disc,76581,150000,
Amoxycillin / Clavulan AMC30 Disc,,CT0223B,2,Disc,76581,150000,
Ampicillin AMP10 Disc,,CT0003B,1,Disc,76581,175000,
Ciprofloxacin CIP5 Disc,,CT0425B,2,Tube,76581,165000,
Streptomycin S10 Disc,,CT0047B,1,Pack,381840,495000,
Sulphamethoxazole/Trimethoprim Disc,,CT0052B,1,Pack,382905,496000,
Tetracyline TE30 Disc,,CT0054B,1,Pack,384060,497500,
Aleksandrow Agar Himedia 500 G,PADATAN PRO ANALIS,M1996-0500,1,Botol,1864800,2664000,
Mikroplate TC Culture 96 Well Costar,,Costar 3596,20,Pcs,53280,75000,
Timbangan Analitik Fujitsu,ELEKTRONIK,PSR B 620Gr,1,Unit,4200000,5000000,
Pyridine 50 ml,PADATAN PRO ANALIS,,2,Botol,115000,189000,
Benzyl Alcohol 100 ml,,,1,Botol,50000,75000,
CROSSPOVIDON,,,1,250 gram,585000,832500,
IODINE 1%,,,10,Liter,239000,850000,
LUGOL 1%,,,10,Liter,200000,430000,
ETER - ALKOHOL,,,9,100 ml,65000,97500,
ETER - ALKOHOL 500ML,,,5,Botol,225000,337500,
Microscope Slides Sail Brand 7103 eceran,GLASSWARE,,49,Pcs,1,14000,
Iodine 1% 100 ML,,,11,ml,24000,64000,
"NaOH 0,1 N @1Liter",,,48,jerigen,45000,85000,
MINYAK CENGKEH,,,4,Liter,1,280000,
VIRGIN COCONUT OIL (VCO),,,1,Liter,81250,125000,
SPECTROMETER VISIBLE,,,1,Unit,1,30000000,
Indikator PP 50 ML,,,5,Botol,15000,39000,
King's Medium B Base 500 gram,PADATAN PRO ANALIS,M.1554-0500,1,Botol,1332000,1837500,
Glycerolar AR Smartlab @4 L,CAIRAN PRO ANALIS,A-1043,3,Botol,2649570,3577000,
Salicylic Acid / Asam Salisilat PA @1 Kg,PADATAN PRO ANALIS,A-2187,1,Pack,683760,970000,
Yeast Extract Agar Himedia 500 gram,PADATAN PRO ANALIS,M456,3,Pack,932400,1725000,
D(+) Glucose Monohydrate Merck,PADATAN PRO ANALIS,M.1.08342.1000,1,1 Kg,521700,945000,
Jarum Ose Lurus Lokal,,LU.OSE-L-KB,28,Pcs,4000,6000,
N-Phenylthiourea SIGMA,,.P7629-25G,2,25 gram,2334552,3274500,
Glyceryl Monoolate SUPELCO PHR1484-1G,,,1,Botol,4228656,5300000,
Tricaine SIGMA.E10521-10G,,,1,Botol,916416,1125000,
Gelas Ukur PYREX 20 ml,GLASSWARE,,1,Pcs,30000,45000,
Beaker Glass PYREX 5 ml,GLASSWARE,,5,Pcs,25000,37500,
Beaker Glass PYREX 10 ml,GLASSWARE,,7,Pcs,12000,17000,
Beaker Glass RRC 200 ml,GLASSWARE,,35,Pcs,20000,30000,
Cawan Evaporasi 60 mm,GLASSWARE,R.J-163,1,Pcs,9800,21000,
Cawan Evaporasi Porselen 75ml Ex. India,ALAT,R.J-165,8,Pcs,17760,23000,
Mortar Pestle 700 ml 175 mm,GLASSWARE,R.J-249,22,Set,152000,198000,
Mortar Pestle MM 90 mm,GLASSWARE,R.G-2,1,Set,35732,40000,
Cawan Evaporasi Porselen 100 ml Ex. India,GLASSWARE,R.J-166,7,Pcs,22533,25000,
Cawan Evaporasi 82 mm,GLASSWARE,R.J-165,1,Pcs,22100,33000,
Surgical/Scaple Blades NO 23 OneMed,,,12,Pack,65000,74000,
Surgical/Scaple Blades NO 15 OneMed,,,1,Pack,65000,74000,
Beaker Glass IWAKI 100 ml,GLASSWARE,I.1000BK100,5,Pcs,36000,47000,
Endo C Agar Merck,PADATAN PRO ANALIS,M.1.04044.0500,1,500 gr,1320000,2220000,
Kasa Asbes 18x18 cm Lokal,ALAT,L.27,16,Pcs,27750,38000,
Nutrient Broth Merck,PADATAN PRO ANALIS,M.1.05443.0500,1,500 gr,1514000,2442000,
Plate Count Agar Merck,PADATAN PRO ANALIS,M.1.05463.0500,1,500 gr,1113000,2442000,
Segitia Porcelain 50 mm,GLASSWARE,R.J-480,8,Pcs,15600,23000,
Bromophenol Blue Indikator Merck,PADATAN PRO ANALIS,M.1.08122.0005,1,5 gr,1071000,1960000,
Staining Tray for 10 Slides 76x26 mm Duran,GLASSWARE,D.213170003,30,Pcs,336500,505000,
Triptic Soy Agar Merck,PADATAN PRO ANALIS,M.1.0548.0500,1,500 gr,1036000,1725000,
Stainless Stell Handle for Staining Tray Duran,GLASSWARE,D.290750002,30,Pcs,34600,52000,
Botol TImbang RRT 50 * 30 mm,GLASSWARE,RT.1302.5030,1,Pcs,44800,67000,
Ose Kaca Lurus Lokal,GLASSWARE,,19,Pcs,5647,10000,
Formaldehyde Solution 37% SmartLab,CAIRAN PRO ANALIS,A-1042,3,4 L,1825950,2135000,
Botol Reagen 500 ml Coklat Mulut Lebar tutup Kaca RRT,GLASSWARE,H.1404-500,25,Pcs,56721,85000,
P-Xylene for analysis Merck,CAIRAN PRO ANALIS,1.086.842.500,10,"2,5 L",2992782,4355000,
"FeSO4 0,05 M 1250 ML PA",,,4,Botol,15000,105000,
MOLISCH 100 ML,MBAK MIRZA,,4,Botol,120000,245000,
Curcumin for synthesis Merck Eceran,PADATAN PRO ANALIS,,1,Gram,149267,230000,
2-Propanol / Iso Propil / Isopropanol Merck,CAIRAN PRO ANALIS,1.096.342.500,1,"2,5 L",447100,672000,
"Stevioside hydrate, =98% (HPLC) storage temp 2-8 �C Cat. No. S3572-10MG",,,1,Botol,3667440,4606500,
Rebaudioside A. =96% (HPLC) Cat. No. 01432-10G,,,1,Botol,2844264,3607500,
CORONG PISAH TUTUP KACA DURAN 1LITER,,,2,Pcs,602400,815000,
Ammonia PA 50 ML / Amonium Hidroksida NH3 / NH4OH,CAIRAN PRO ANALIS,,26,Botol,9100,28000,
Reagen Nessler 50 ml,,,4,Botol,25000,115000,
BaCl2 PA 1% 100 ML,LARUTAN REAGENT,,8,Botol,2800,15000,
PAC / Poly Alumunium Chloride 25 Kg,PADATAN TEKNIS,,1,Zak,350000,638500,
PAC / Poly Alumunium Chloride,PADATAN TEKNIS,,3,Kg,18000,55000,
H2SO4 1 % 100 ML,,,7,Botol,1,26500,
Burette Amber PYREX 50 ml,GLASSWARE,,8,Pcs,400000,575000,
Boiling Flask Round Bottom PYREX 2000 ml,GLASSWARE,,8,Pcs,550000,825000,
Picnometer PYREX 50 ml,GLASSWARE,,10,Pcs,100000,150000,
Picnometer PYREX 25 ml,GLASSWARE,,9,Pcs,75000,112500,
Picnometer PYREX 10 ml,GLASSWARE,,10,Pcs,65000,97500,
Denstrak non Kran,GLASSWARE,,2,Pcs,275000,412500,
Botol BOD Pyrex 100 ml,GLASSWARE,,5,Pcs,135000,202500,
Viscometer Oswald PYREX,GLASSWARE,,1,Pcs,50000,75000,
Corong Kaca PYREX 50 mm,GLASSWARE,,1,pcs,13000,19000,
Round Bottom Boiling Flask PYREX 1000 ml,GLASSWARE,,11,Pcs,315000,450000,
Plastik Klip Klip Plastik 8 x 5 cm,,,31,Pack,3500,4500,
Tributyrin Agar 100 gr,PADATAN PRO ANALIS,91015-100G,1,Pack,2275056,3774000,
Lemari Penyimpanan & Pengeringan alat & bahan,LEMARI,900x550x1800mm,1,Unit,6500000,8500000,
HCL Teknis 32% 30 Kg,CAIRAN TEKNIS,,2,jerigen,335000,502500,
Asam Sulfate / H2SO4 98% 35 Kg,CAIRAN TEKNIS,,1,jerigen,135000,250000,
H2O2 Teknis 35 Kg,CAIRAN TEKNIS,,1,jerigen,400000,750000,
Methanol Teknis 200 Ltr,CAIRAN TEKNIS,,1,Drum,1600000,2400000,
Nitric Acid / HNO3 Teknis 35 Kg. Ex Korea,CAIRAN TEKNIS,,1,jerigen,420000,675000,
Ammonia Teknis 25% 30 Liter,CAIRAN TEKNIS,,1,jerigen,300000,450000,
Sodium Hypochlorite / Chlorine Teknis 12% 30 Kg,CAIRAN TEKNIS,,1,jerigen,140000,750000,
Asam asetat / Acetic Acid Teknis CH3COOH 30 Kg,CAIRAN TEKNIS,,1,jerigen,450000,695000,
Iron (II) Ammonium Sulfate Hexahydrate 500gr,PADATAN PRO ANALIS,CBE 12/500,1,Botol,152950,255500,
